,Close,Date,High,Low,Open
736516,9.63,736516,9.738,9.538,9.634
736517,9.269,736517,9.695,9.134,9.63
736518,9.03,736518,9.257,8.5,9.257
736519,9.04,736519,9.516,8.857,9.021
736520,7.973,736520,9.04,7.522,9.04
736521,7.638,736521,8.375,6.544,8.04
736522,8.233,736522,8.3,7.378,7.638
736523,8.146,736523,9.15,7.805,8.249
736524,8.28,736524,8.289,7.79,8.146
736525,8.71,736525,8.8,8.179,8.281
736526,7.696,736526,8.73,6.895,8.71
736527,7.739,736527,8.062,7.301,7.697
736528,7.7,736528,7.92,7.432,7.739
736529,7.216,736529,7.857,6.974,7.7
736530,6.69,736530,7.51,6.55,7.216
736531,6.907,736531,7.089,6.611,6.701
736532,6.945,736532,7.11,6.508,6.889
736533,7.15,736533,7.427,6.866,6.945
736534,6.968,736534,7.195,6.875,7.15
736535,6.832,736535,7.026,6.555,6.968
736536,6.84,736536,6.944,6.65,6.825
736537,6.494,736537,6.879,6.431,6.864
736538,5.847,736538,6.498,5.6,6.466
736539,6.253,736539,6.299,5.611,5.803
736540,5.854,736540,6.293,5.853,6.252
736541,5.7,736541,5.975,5.63,5.865
736542,6.465,736542,6.779,5.4,5.728
736543,6.333,736543,6.596,6.221,6.499
736544,6.245,736544,6.417,6.23,6.333
736545,6.032,736545,6.36,5.975,6.245
736546,5.672,736546,6.098,5.5,6.035
736547,5.58,736547,5.888,5.424,5.637
736548,5.261,736548,5.65,5.2,5.59
736549,5.693,736549,5.9,5.114,5.261
736550,5.5,736550,5.725,5.427,5.693
736551,5.259,736551,5.529,5.191,5.499
736552,4.862,736552,5.372,4.816,5.289
736553,4.454,736553,5.02,4.373,4.886
736554,4.064,736554,4.45,3.848,4.45
736555,3.888,736555,4.548,3.848,4.08
736556,3.8,736556,4.1,3.649,3.888
736557,3.65,736557,3.822,3.582,3.8
736558,3.679,736558,3.728,3.514,3.65
736559,3.84,736559,4.072,3.546,3.672
736560,3.667,736560,3.923,3.629,3.84
736561,3.891,736561,3.945,3.628,3.667
736562,5,736562,5.925,3.792,3.891
736563,5.961,736563,6.425,4.488,5
736564,5.93,736564,7.349,5.267,5.944
736565,5.005,736565,6.899,4.839,5.93
736566,4.979,736566,5.325,4.53,5.014
736567,4.835,736567,5.375,4.811,4.979
736568,4.646,736568,4.838,4.444,4.835
736569,5.142,736569,5.56,4.5,4.647
736570,4.8,736570,5.17,4.651,5.145
736571,5.083,736571,5.116,4.71,4.799
736572,5.509,736572,5.629,4.908,5.065
736573,5.164,736573,5.522,5.16,5.509
736574,4.953,736574,5.17,4.892,5.161
736575,4.993,736575,5.067,4.877,4.952
736576,4.845,736576,5.014,4.54,4.993
736577,4.928,736577,5.032,4.773,4.817
736578,5.011,736578,5.068,4.86,4.927
736579,4.906,736579,5.047,4.832,5.03
736580,4.901,736580,4.994,4.805,4.919
736581,4.905,736581,4.996,4.869,4.92
736582,5.109,736582,5.219,4.891,4.905
736583,5.093,736583,5.276,4.94,5.107
736584,5.028,736584,5.2,4.974,5.099
736585,5.092,736585,5.145,4.98,5.02
736586,5.29,736586,5.417,4.985,5.093
736587,4.999,736587,5.516,4.805,5.29
736588,4.936,736588,5.007,4.886,4.999
736589,4.93,736589,4.99,4.84,4.953
736590,4.75,736590,4.93,4.65,4.93
736591,4.731,736591,4.79,4.618,4.75
736592,4.66,736592,4.738,4.629,4.735
736593,4.747,736593,4.8,4.642,4.662
736594,4.78,736594,4.786,4.666,4.747
736595,4.711,736595,4.784,4.687,4.78
736596,4.795,736596,4.797,4.698,4.722
736597,4.709,736597,4.796,4.679,4.792
736598,4.874,736598,4.972,4.67,4.71
736599,4.974,736599,5.249,4.796,4.874
736600,4.824,736600,5.033,4.715,4.974
736601,4.73,736601,4.845,4.651,4.825
736602,4.583,736602,4.806,4.5,4.744
736603,4.734,736603,4.74,4.53,4.598
736604,4.609,736604,4.775,4.514,4.735
736605,4.71,736605,4.754,4.594,4.609
736606,5.06,736606,5.16,4.695,4.71
736607,5.511,736607,5.65,5.037,5.06
736608,5.368,736608,5.564,5.259,5.517
736609,5.412,736609,5.5,5.332,5.368
736610,6.1,736610,6.15,5.35,5.411
736611,5.227,736611,6.108,4.8,6.099
736612,5.43,736612,5.6,4.919,5.229
736613,5.45,736613,5.565,5.266,5.423
736614,4.498,736614,5.489,4.498,5.45
736615,4.602,736615,4.693,4,4.498
736616,4.35,736616,4.795,4.3,4.61
736617,4.643,736617,4.9,4.306,4.36
